"id","time","DV","outcome"
"31",2.5,8.35214674536005,"1CMT_IV"
"31",3,8.1648606792652,"1CMT_IV"
"31",3.5,7.98177426047333,"1CMT_IV"
"31",4,7.80279331733656,"1CMT_IV"
"31",5,7.45678168247095,"1CMT_IV"
"31",6,7.12611379010796,"1CMT_IV"
"31",7,6.81010922834735,"1CMT_IV"
"31",8,6.50811775787249,"1CMT_IV"
"31",9,6.21951797395972,"1CMT_IV"
"31",10,5.94371602782021,"1CMT_IV"
"31",11,5.68014440464347,"1CMT_IV"
"31",12,5.42826075582804,"1CMT_IV"
"31",16,4.52757862250102,"1CMT_IV"
"31",24,3.14975372996775,"1CMT_IV"
"33",0,22.3383062681632,"1CMT_IV"
"33",0.5,21.5026635363636,"1CMT_IV"
"33",1,20.6982809532442,"1CMT_IV"
"33",1.5,19.923989123251,"1CMT_IV"
"33",2,19.1786623961737,"1CMT_IV"
"33",2.5,18.4612172306983,"1CMT_IV"
"33",3,17.7706106191758,"1CMT_IV"
"33",3.5,17.1058385713182,"1CMT_IV"
"33",4,16.4659346546174,"1CMT_IV"
"33",5,15.2570448962268,"1CMT_IV"
"33",6,14.1369089485731,"1CMT_IV"
"33",7,13.0990107179714,"1CMT_IV"
"33",8,12.1373125068368,"1CMT_IV"
"33",9,11.2462198909806,"1CMT_IV"
"33",10,10.4205491755316,"1CMT_IV"
"33",11,9.65549724016675,"1CMT_IV"
"33",12,8.94661359823313,"1CMT_IV"
"33",16,6.59469671156634,"1CMT_IV"
"33",24,3.58316758286041,"1CMT_IV"
"34",0,10.661305719469,"1CMT_IV"
"34",0.5,9.94533645235643,"1CMT_IV"
"34",1,9.27744872468544,"1CMT_IV"
"34",1.5,8.65441357881603,"1CMT_IV"
"34",2,8.07321890056955,"1CMT_IV"
"34",2.5,7.53105485691728,"1CMT_IV"
"34",3,7.02530031161376,"1CMT_IV"
"34",3.5,6.5535101531,"1CMT_IV"
"34",4,6.11340347341239,"1CMT_IV"
"34",5,5.31987251376955,"1CMT_IV"
"34",6,4.62934332501428,"1CMT_IV"
"34",7,4.0284460887708,"1CMT_IV"
"34",8,3.50554641355807,"1CMT_IV"
"34",9,3.0505200732026,"1CMT_IV"
"34",10,2.65455698461767,"1CMT_IV"
"34",11,2.30999062962548,"1CMT_IV"
"34",12,2.01014961813904,"1CMT_IV"
"34",16,1.1526595316715,"1CMT_IV"
"34",24,0.379006248730458,"1CMT_IV"
"36",0,7.38625102003114,"1CMT_IV"
"36",0.5,7.24053483519166,"1CMT_IV"
"36",1,7.0976933436799,"1CMT_IV"
"36",1.5,6.95766983345844,"1CMT_IV"
"36",2,6.82040871130665,"1CMT_IV"
"36",2.5,6.68585548074864,"1CMT_IV"
"36",3,6.55395672041668,"1CMT_IV"
"36",3.5,6.42466006284138,"1CMT_IV"
"36",4,6.29791417366039,"1CMT_IV"
"36",5,6.05187440668219,"1CMT_IV"
"36",6,5.81544664222823,"1CMT_IV"
"36",7,5.58825536948715,"1CMT_IV"
"36",8,5.36993974767801,"1CMT_IV"
"36",9,5.16015303293817,"1CMT_IV"
"36",10,4.95856202760091,"1CMT_IV"
"36",11,4.76484655098799,"1CMT_IV"
"36",12,4.57869893087671,"1CMT_IV"
"36",16,3.90404453023458,"1CMT_IV"
"36",24,2.83831186386124,"1CMT_IV"
"41",0,63.2480764724635,"1CMT_IV"
"41",0.5,56.1552826474429,"1CMT_IV"
"41",1,49.8578920512644,"1CMT_IV"
"41",1.5,44.2667062224951,"1CMT_IV"
"41",2,39.3025296330994,"1CMT_IV"
"41",2.5,34.895047935048,"1CMT_IV"
"41",3,30.9818320030937,"1CMT_IV"
"41",3.5,27.5074536666231,"1CMT_IV"
"41",4,24.4227006054986,"1CMT_IV"
"41",5,19.2521960872508,"1CMT_IV"
"41",6,15.1763336974497,"1CMT_IV"
"41",7,11.9633678907349,"1CMT_IV"
"41",8,9.43061572987928,"1CMT_IV"
"41",9,7.43406989210155,"1CMT_IV"
"41",10,5.86021069499755,"1CMT_IV"
"41",11,4.61955158993743,"1CMT_IV"
"41",12,3.64155113233559,"1CMT_IV"
"41",16,1.40615364142129,"1CMT_IV"
"41",24,0.209664789650766,"1CMT_IV"
"44",0,33.7834077611648,"1CMT_IV"
"44",0.5,29.0801592447068,"1CMT_IV"
"44",1,25.0316861956602,"1CMT_IV"
"44",1.5,21.546832275757,"1CMT_IV"
"44",2,18.5471317229958,"1CMT_IV"
"44",2.5,15.9650425987303,"1CMT_IV"
"44",3,13.7424259980456,"1CMT_IV"
"44",3.5,11.8292369809761,"1CMT_IV"
"44",4,10.182397749276,"1CMT_IV"
"44",5,7.54460849483251,"1CMT_IV"
"44",6,5.59014868028956,"1CMT_IV"
"44",7,4.14199918910926,"1CMT_IV"
"44",8,3.06899838694328,"1CMT_IV"
"44",9,2.27396256470199,"1CMT_IV"
"44",10,1.68488382648395,"1CMT_IV"
"44",11,1.24840819845213,"1CMT_IV"
"44",12,0.925003258660774,"1CMT_IV"
"44",16,0.278798135630582,"1CMT_IV"
"44",24,0.0253269603404731,"1CMT_IV"
"45",0,8.92788392054025,"1CMT_IV"
"45",0.5,8.68076837476603,"1CMT_IV"
"45",1,8.44049275808439,"1CMT_IV"
"45",1.5,8.2068677476025,"1CMT_IV"
"45",2,7.97970926070957,"1CMT_IV"
"45",2.5,7.75883831003075,"1CMT_IV"
"45",3,7.54408086239571,"1CMT_IV"
"45",3.5,7.33526770171083,"1CMT_IV"
"45",4,7.13223429562701,"1CMT_IV"
"45",5,6.74287126232686,"1CMT_IV"
"45",6,6.37476434112522,"1CMT_IV"
"45",7,6.02675311805646,"1CMT_IV"
"45",8,5.69774052849019,"1CMT_IV"
"45",9,5.38668939876352,"1CMT_IV"
"45",10,5.09261917661248,"1CMT_IV"
"45",11,4.81460284009587,"1CMT_IV"
"45",12,4.55176397526713,"1CMT_IV"
"45",16,3.63627567505775,"1CMT_IV"
"45",24,2.32065688475997,"1CMT_IV"
"50",0,6.01184441793478,"1CMT_IV"
"50",0.5,5.84759529196478,"1CMT_IV"
"50",1,5.6878336033778,"1CMT_IV"
"50",1.5,5.53243675125193,"1CMT_IV"
"50",2,5.38128548423535,"1CMT_IV"
"50",2.5,5.234263809033,"1CMT_IV"
"50",3,5.09125890139346,"1CMT_IV"
"50",3.5,4.95216101952776,"1CMT_IV"
"50",4,4.81686341989368,"1CMT_IV"
"50",5,4.55725659513397,"1CMT_IV"
"50",6,4.31164138640877,"1CMT_IV"
"50",7,4.07926370984744,"1CMT_IV"
"50",8,3.85941012323809,"1CMT_IV"
"50",9,3.65140563562872,"1CMT_IV"
"50",10,3.45461163498084,"1CMT_IV"
"50",11,3.26842392751308,"1CMT_IV"
"50",12,3.09227088271509,"1CMT_IV"
"50",16,2.4776167618239,"1CMT_IV"
"50",24,1.59055001216622,"1CMT_IV"
"53",0,134.742029321072,"1CMT_IV"
"53",0.5,125.713353988536,"1CMT_IV"
"53",1,117.289664187767,"1CMT_IV"
"53",1.5,109.430421580621,"1CMT_IV"
"53",2,102.097804186239,"1CMT_IV"
"53",2.5,95.2565243657763,"1CMT_IV"
"53",3,88.8736590034395,"1CMT_IV"
"53",3.5,82.9184910666069,"1CMT_IV"
"53",4,77.3623617825488,"1CMT_IV"
"53",5,67.3420571143847,"1CMT_IV"
"53",6,58.6196252532201,"1CMT_IV"
"53",7,51.0269601504935,"1CMT_IV"
"53",8,44.4177295735444,"1CMT_IV"
"53",9,38.6645548676574,"1CMT_IV"
