id,outcome,t0,t1,t2,t4,t6,t8,t12,t24
2254,1CMT_IV,1,0.945826975875756,0.892939870682159,0.790902044900991,0.693650921102724,0.600961950050858,0.428424444293833,0
2257,1CMT_IV,1,0.947217230248931,0.895558576320682,0.795518364511324,0.699693895385064,0.60790751551586,0.435775526368366,0
2259,1CMT_IV,1,0.942520727041474,0.886730221391075,0.780018502756411,0.679485147488899,0.584772442542727,0.41148048614353,0
2261,1CMT_IV,1,0.779335885932612,0.607239563918542,0.368344327834248,0.22303709069712,0.134654444351776,0.0481975912773668,0
2265,1CMT_IV,1,0.927744426657484,0.859275110687581,0.732912034139832,0.619445061860585,0.51755806963185,0.34391741203073,0
2267,1CMT_IV,1,0.927408728532627,0.858656807581036,0.731869504622664,0.618139087781583,0.516120924976331,0.342520941304557,0
2272,1CMT_IV,1,0.76349995733741,0.582845067151513,0.339437328966398,0.197410177078654,0.114538071106397,0.0379674769690745,0
2274,1CMT_IV,1,0.924979944265959,0.854190366953277,0.724361851722541,0.608762881923226,0.505833862093386,0.332583234232941,0
2275,1CMT_IV,1,0.913322802704199,0.832921397444582,0.689161288544258,0.565465204216655,0.459032888638834,0.288658097818832,0
2276,1CMT_IV,1,0.937732564936762,0.877781315214867,0.764485952483326,0.659462410141682,0.562106753387018,0.388200607835497,0
2280,1CMT_IV,1,0.946358732590059,0.893940959920903,0.79266490936773,0.695956147832649,0.603608702345142,0.431219892979726,0
2283,1CMT_IV,1,0.932567836793481,0.868185301442973,0.7480236725735,0.638484924538368,0.53862994226164,0.364622587119497,0
2284,1CMT_IV,1,0.92869338392223,0.861024217910077,0.735865495688898,0.623150132533737,0.521641001841686,0.347895682638551,0
2294,1CMT_IV,1,0.92157508806025,0.847949497385012,0.713939448789083,0.595829394459588,0.491732835433791,0.319126795174773,0
2296,1CMT_IV,1,0.755442745853071,0.570621687484933,0.325386993181847,0.185323898384023,0.10532840435291,0.0335453494340823,0
2299,1CMT_IV,1,0.90522637818108,0.81830909514131,0.665492500819299,0.536961512884924,0.42885666384886,0.261456771541958,0
2304,1CMT_IV,1,0.687439958640591,0.472561560327715,0.223279868849955,0.10546259003231,0.0497789531566629,0.0110229501394116,0
2315,1CMT_IV,1,0.860930345170217,0.740601610405467,0.546405189054825,0.401021672509697,0.292181526352404,0.14969825908759,0
2318,1CMT_IV,1,0.913931084125179,0.834024457494503,0.69096485136154,0.567657220622869,0.461374446544399,0.290805648087864,0
2319,1CMT_IV,1,0.92870909749912,0.861053196909044,0.735914481494669,0.623211650287326,0.521708864997492,0.347961942414875,0
2321,1CMT_IV,1,0.950791542460214,0.902312326965702,0.807498554415264,0.715474134281003,0.626157005838068,0.45532838093873,0
2324,1CMT_IV,1,0.931966882975267,0.867072477448701,0.746127262966733,0.636084251366605,0.535960699939677,0.361975951790773,0
2325,1CMT_IV,1,0.945917847836681,0.893110900030015,0.791203054166634,0.694044325620591,0.601413395659234,0.428900745473717,0
2331,1CMT_IV,1,0.922687854114881,0.849986501594335,0.717332649891437,0.60002957677712,0.49630088148917,0.323465063612537,0
2334,1CMT_IV,1,0.849127984318022,0.7205256338045,0.517466556947763,0.369928915999804,0.262731760209293,0.128254414434184,0
2337,1CMT_IV,1,0.933047104807857,0.869073346618804,0.749538900734831,0.640405402063733,0.540767841993763,0.36674738494178,0
2343,1CMT_IV,1,0.899550933602515,0.808142743995577,0.649267352174745,0.517703966708411,0.408757425667726,0.243831163151008,0
2350,1CMT_IV,1,0.914040388870665,0.834222749404328,0.691289321962152,0.56805187769909,0.461796343634916,0.291193151557939,0
2353,1CMT_IV,1,0.944033320227307,0.889567978518393,0.784981292676641,0.685930539927511,0.592122694873368,0.419140356686815,0
2357,1CMT_IV,1,0.884750037991216,0.781922586364323,0.608323573352755,0.470131282752055,0.360124268022106,0.202844199640309,0
2360,1CMT_IV,1,0.888997368993231,0.789403865388936,0.61987413482757,0.483402828754988,0.373543529625064,0.213915436356778,0
2361,1CMT_IV,1,0.904362174883464,0.816757007590656,0.663002647819451,0.533991421590167,0.425741505828749,0.258699096935955,0
2362,1CMT_IV,1,0.913286175451759,0.832855000977226,0.689052802688615,0.565333443129317,0.458892233523865,0.288529264967525,0
2363,1CMT_IV,1,0.92614928738361,0.856339212421904,0.72796876024507,0.613261237963623,0.510762450705138,0.337331704492095,0
2368,1CMT_IV,1,0.936090843642338,0.87472471874937,0.759220827272484,0.652726163575713,0.554538013801056,0.380540181447046,0
2371,1CMT_IV,1,0.910352544905163,0.827545687593028,0.680405693817303,0.554864166521493,0.447750698107272,0.278384892829464,0
2384,1CMT_IV,1,0.952214709407405,0.905010067714366,0.81231459442374,0.721858158022294,0.633586675111852,0.463388736473636,0
2387,1CMT_IV,1,0.952493288781542,0.905538725248583,0.813260446435574,0.723114714620073,0.635052246734005,0.464985638805024,0
2390,1CMT_IV,1,0.867585501591926,0.75203834807439,0.563225325827491,0.419451653192406,0.309973669645536,0.163132735059727,0
2391,1CMT_IV,1,0.914091280828525,0.83431508165297,0.691440434091239,0.568235708401403,0.461992895618615,0.291373738970224,0
2395,1CMT_IV,1,0.941132195592517,0.88412980493727,0.775486691733227,0.673619891213245,0.578106749679008,0.404580993784687,0
2396,1CMT_IV,1,0.76564850904106,0.586126067961678,0.343258165885751,0.200739361745894,0.117107027625821,0.0392311642658446,0
2397,1CMT_IV,1,0.732034918971836,0.535834658537579,0.286997370180296,0.153596638704057,0.0820810098532707,0.0231882190366455,0
2400,1CMT_IV,1,0.901934500423837,0.812404762259062,0.656045379340165,0.525720873658735,0.417096264990901,0.251095647994494,0
2402,1CMT_IV,1,0.894626881761812,0.799372941765693,0.63542886210081,0.50146058537028,0.391987286872194,0.229429710616179,0
2404,1CMT_IV,1,0.797129037289765,0.635231500948464,0.402926785278227,0.254982318957946,0.160763116168008,0.062545274216664,0
2405,1CMT_IV,1,0.897740104148866,0.804912188678453,0.644152690994439,0.511680980329642,0.402519441638153,0.238441687733981,0
2413,1CMT_IV,1,0.949077573936427,0.899069909775351,0.801733431837444,0.707862615748122,0.617334066740046,0.445832001800661,0
2421,1CMT_IV,1,0.906469947093628,0.820545078543966,0.669087584829779,0.541259536336816,0.433374415694622,0.265472893851873,0
2425,1CMT_IV,1,0.813130989400951,0.66092830917024,0.435990966558238,0.286769402299863,0.187777056337434,0.078540959796326,0
