id,outcome,t0,t1,t2,t4,t6,t8,t12,t24
6,1CMT_IV,1,0.698513063838491,0.5430246427448,0.497087029916483,0.328395698912315,0.350764446640871,0.213266319595051,0
7,1CMT_IV,0.846782741777203,0.438985463103781,0.729514685787641,1,0.330264497241466,0.84471501483801,0.251408880815077,0
10,1CMT_IV,0.8448565793204,0.979953027558044,1,0.399162300934442,0.668020214134585,0.334107667075041,0.46555850711246,0
17,1CMT_IV,0.45696447369781,0.264927228931486,0.168333464752842,1,0.947619446121659,0.266669676446419,0.00844385059001609,0
19,1CMT_IV,1,0.852094684448744,0.793724665975559,0.698874152388119,0.510645641776362,0.338464921301178,0.277876671956704,0
20,1CMT_IV,1,0.448507456039449,0.494261884813409,0.203740869066943,0.115758982275537,0.0907889144089777,0.0107209406614997,0
31,1CMT_IV,0.976620412097987,0.957314687565858,1,0.405441509151445,0.409756845996981,0.394256776998097,0.288593353790853,0
33,1CMT_IV,1,0.992770789563125,0.724036277657755,0.539623270578713,0.578004970909932,0.646319450043627,0.31552102702812,0
34,1CMT_IV,0.628148532271351,1,0.622590649327726,0.387272983042375,0.278816405435318,0.194139602201366,0.0830912630379226,0
36,1CMT_IV,1,0.960786413351207,0.471738325461752,0.547723161151193,0.534046698929268,0.496553019151335,0.688762705752042,0
41,1CMT_IV,0.904588832587637,1,0.604657709265712,0.455297039328699,0.237668194888896,0.183314526652088,0.0348676706931643,0
44,1CMT_IV,1,0.565467207267829,0.372292821892032,0.197944999278179,0.112717222466995,0.0554844115610234,0.0186072203701166,0
45,1CMT_IV,0.650018181445316,1,0.599771480891879,0.5426143228318,0.183121319382209,0.243014163269949,0.182009864931975,0
50,1CMT_IV,0.671796055795093,1,0.44811617009167,0.492059239702235,0.49715253563724,0.648140693997596,0.241907482742302,0
53,1CMT_IV,1,0.941528383393826,0.618130351170018,0.530065087051747,0.377073105354702,0.344767588495508,0.120466717283656,0
57,1CMT_IV,0.889728568144725,0.869959642967663,1,0.597902527199895,0.563897867480425,0.650710618368273,0.369972551771847,0
61,1CMT_IV,1,0.964967996166446,0.521022621660121,0.7067467639203,0.630301880628286,0.457429867029488,0.2817842400397,0
67,1CMT_IV,0.98859873699068,0.826935024398243,1,0.971609035544071,0.699519301581793,0.407806007790206,0.473971595357377,0
68,1CMT_IV,1,0.389268262526074,0.636025620044601,0.508057009904371,0.589771963253076,0.124752050334077,0.165935507304368,0
71,1CMT_IV,1,0.753246181225074,0.854597406477668,0.430379599926575,0.502974111033967,0.402008225481054,0.172249240539664,0
72,1CMT_IV,0.974557044644676,1,0.951802146734457,0.298738601732408,0.717524797891757,0.502607894965972,0.0466668580480835,0
77,1CMT_IV,1,0.862892052503444,0.731850327841076,0.740787506994828,0.480455097632623,0.662894839584148,0.427927107281705,0
81,1CMT_IV,0.907127626893979,1,0.548892625117484,0.887909210228176,0.357991679098198,0.310566361990366,0.169843169637852,0
87,1CMT_IV,1,0.844140255249627,0.540676837066744,0.432702752381705,0.274045813129439,0.127212492298121,0.045508701012341,0
